年度,月份,最高價,最低價,加權(A/B)平均價,成交筆數,成交金額(A),成交股數(B),週轉率(%)
113,1,34.85,31.80,32.94,"143,849","8,126,974,567","246,677,741",3.26
113,2,32.90,31.80,32.18,"111,382","5,911,880,755","183,669,786",2.43
113,3,32.30,30.80,31.67,"197,197","11,016,979,165","347,758,203",4.60
113,4,33.60,31.75,32.38,"186,796","13,305,816,429","410,801,856",5.44
113,5,34.40,32.10,33.39,"221,703","16,245,528,943","486,417,349",6.44
113,6,34.75,32.65,33.81,"139,190","10,591,832,110","313,182,680",4.14
113,7,35.20,33.40,34.35,"188,230","13,365,949,038","389,103,569",5.15
113,1,34.85,31.80,32.94,"143,849","8,126,974,567","246,677,741",3.26
113,2,32.90,31.80,32.18,"111,382","5,911,880,755","183,669,786",2.43
113,3,32.30,30.80,31.67,"197,197","11,016,979,165","347,758,203",4.60
113,4,33.60,31.75,32.38,"186,796","13,305,816,429","410,801,856",5.44
113,5,34.40,32.10,33.39,"221,703","16,245,528,943","486,417,349",6.44
113,6,34.75,32.65,33.81,"139,190","10,591,832,110","313,182,680",4.14
113,7,35.20,33.40,34.35,"188,230","13,365,949,038","389,103,569",5.15
113,1,34.85,31.80,32.94,"143,849","8,126,974,567","246,677,741",3.26
113,2,32.90,31.80,32.18,"111,382","5,911,880,755","183,669,786",2.43
113,3,32.30,30.80,31.67,"197,197","11,016,979,165","347,758,203",4.60
113,4,33.60,31.75,32.38,"186,796","13,305,816,429","410,801,856",5.44
113,5,34.40,32.10,33.39,"221,703","16,245,528,943","486,417,349",6.44
113,6,34.75,32.65,33.81,"139,190","10,591,832,110","313,182,680",4.14
113,7,35.20,33.40,34.35,"188,230","13,365,949,038","389,103,569",5.15
113,1,34.85,31.80,32.94,"143,849","8,126,974,567","246,677,741",3.26
113,2,32.90,31.80,32.18,"111,382","5,911,880,755","183,669,786",2.43
113,3,32.30,30.80,31.67,"197,197","11,016,979,165","347,758,203",4.60
113,4,33.60,31.75,32.38,"186,796","13,305,816,429","410,801,856",5.44
113,5,34.40,32.10,33.39,"221,703","16,245,528,943","486,417,349",6.44
113,6,34.75,32.65,33.81,"139,190","10,591,832,110","313,182,680",4.14
113,7,35.20,33.40,34.35,"188,230","13,365,949,038","389,103,569",5.15
113,1,34.85,31.80,32.94,"143,849","8,126,974,567","246,677,741",3.26
113,2,32.90,31.80,32.18,"111,382","5,911,880,755","183,669,786",2.43
113,3,32.30,30.80,31.67,"197,197","11,016,979,165","347,758,203",4.60
113,4,33.60,31.75,32.38,"186,796","13,305,816,429","410,801,856",5.44
113,5,34.40,32.10,33.39,"221,703","16,245,528,943","486,417,349",6.44
113,6,34.75,32.65,33.81,"139,190","10,591,832,110","313,182,680",4.14
113,7,35.20,33.40,34.35,"188,230","13,365,949,038","389,103,569",5.15
113,1,34.85,31.80,32.94,"143,849","8,126,974,567","246,677,741",3.26
113,2,32.90,31.80,32.18,"111,382","5,911,880,755","183,669,786",2.43
113,3,32.30,30.80,31.67,"197,197","11,016,979,165","347,758,203",4.60
113,4,33.60,31.75,32.38,"186,796","13,305,816,429","410,801,856",5.44
113,5,34.40,32.10,33.39,"221,703","16,245,528,943","486,417,349",6.44
113,6,34.75,32.65,33.81,"139,190","10,591,832,110","313,182,680",4.14
113,7,35.20,33.40,34.35,"188,230","13,365,949,038","389,103,569",5.15
113,1,34.85,31.80,32.94,"143,849","8,126,974,567","246,677,741",3.26
113,2,32.90,31.80,32.18,"111,382","5,911,880,755","183,669,786",2.43
113,3,32.30,30.80,31.67,"197,197","11,016,979,165","347,758,203",4.60
113,4,33.60,31.75,32.38,"186,796","13,305,816,429","410,801,856",5.44
113,5,34.40,32.10,33.39,"221,703","16,245,528,943","486,417,349",6.44
113,6,34.75,32.65,33.81,"139,190","10,591,832,110","313,182,680",4.14
113,7,35.20,33.40,34.35,"188,230","13,365,949,038","389,103,569",5.15
113,1,34.85,31.80,32.94,"143,849","8,126,974,567","246,677,741",3.26
113,2,32.90,31.80,32.18,"111,382","5,911,880,755","183,669,786",2.43
113,3,32.30,30.80,31.67,"197,197","11,016,979,165","347,758,203",4.60
113,4,33.60,31.75,32.38,"186,796","13,305,816,429","410,801,856",5.44
113,5,34.40,32.10,33.39,"221,703","16,245,528,943","486,417,349",6.44
113,6,34.75,32.65,33.81,"139,190","10,591,832,110","313,182,680",4.14
113,7,35.20,33.40,34.35,"188,230","13,365,949,038","389,103,569",5.15
